time,action,value
1517213635.079000, /muse/elements/experimental/mellow, 0.46454975
1517213635.095000, /muse/elements/experimental/mellow, 0.46454975
1517213635.244000, /muse/elements/experimental/mellow, 0.46454975
1517213635.330000, /muse/elements/experimental/mellow, 0.46454975
1517213635.397000, /muse/elements/experimental/mellow, 0.46454975
1517213635.544000, /muse/elements/experimental/mellow, 0.46454975
1517213635.611000, /muse/elements/experimental/mellow, 0.46454975
1517213635.695000, /muse/elements/experimental/mellow, 0.46454975
1517213635.846000, /muse/elements/experimental/mellow, 0.46454975
1517213635.913000, /muse/elements/experimental/mellow, 0.46454975
